Mark_info;Model_info;Year;Region;Vin_resolution;Mileage;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
BMW;X1;2015;Краснодар;True;90500;2;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;505;1475000
BMW;M5;2018;Ставрополь;True;30230;2;SEDAN;True;97948F;False;4;E;530;6100000
BMW;3 серия;2014;Ростов-на-Дону;True;48871;1;SEDAN;True;0000CC;False;4;D;480;1180000
BMW;X3;2007;Краснодар;True;161000;3;ALLROAD_5_DOORS;False;0000CC;False;5;J;480;585000
BMW;5 серия;2015;Краснодар;True;62000;3;SEDAN;True;040001;False;4;E;520;1515000
BMW;3 серия;2011;Краснодар;True;114850;3;SEDAN;False;200204;False;4;D;460;660000
BMW;X3;2007;Краснодар;True;130000;2;ALLROAD_5_DOORS;True;0000CC;False;5;J;480;599000
BMW;X3;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;550;3790400
BMW;7 серия;2009;Москва;True;127000;3;SEDAN;True;040001;False;4;F;630;799000
BMW;7 серия;2020;Москва;NaN;0;NaN;SEDAN;True;040001;True;4;F;515;6174000
BMW;7 серия;2010;Москва;True;207000;2;SEDAN;False;0000CC;False;4;F;645;540000
BMW;X3;2013;Москва;True;156430;1;ALLROAD_5_DOORS;True;22A0F8;False;5;J;550;997000
BMW;5 серия;2017;Москва;True;189000;3;SEDAN;True;040001;False;4;E;530;1620000
BMW;5 серия;2013;Москва;True;122388;3;SEDAN;True;040001;False;4;E;520;1183530
BMW;5 серия;2011;Москва;True;280956;1;SEDAN;True;040001;False;4;E;530;830640
BMW;3 серия;2013;Москва;True;141507;1;SEDAN;True;200204;False;4;D;480;1062680
BMW;X7;2019;Химки;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;326;6378750
BMW;5 серия;2012;Москва;True;293325;1;SEDAN;True;040001;False;4;E;530;759900
BMW;5 серия;2013;Москва;True;70027;2;SEDAN;True;040001;False;4;E;530;1286610
BMW;X1;2011;Москва;True;64025;1;ALLROAD_5_DOORS;True;200204;False;5;J;420;888000
BMW;X5;2008;Нижний Новгород;True;245734;3;ALLROAD_5_DOORS;True;040001;True;5;J;620;670000
BMW;7 серия;2020;Москва;NaN;0;NaN;SEDAN;True;040001;True;4;F;515;6174000
BMW;7 серия;2010;Нижний Новгород;True;166452;3;SEDAN;True;97948F;True;4;F;645;680000
BMW;3 серия;2010;Москва;True;125340;3;COUPE;True;EE1D19;False;2;D;440;600000
BMW;X6;2012;Челябинск;True;107000;3;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;724;1329000
BMW;X1;2012;Минеральные Воды;True;145385;3;ALLROAD_5_DOORS;False;FAFBFB;False;5;J;420;760000
BMW;X3;2007;Минеральные Воды;True;201000;3;ALLROAD_5_DOORS;False;0000CC;False;5;J;480;600000
BMW;X5;2016;Москва;True;79029;1;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;650;2535000
BMW;X3;2012;Москва;True;65637;1;ALLROAD_5_DOORS;True;040001;False;5;J;550;1098000
BMW;3 серия;2016;Москва;True;46290;1;SEDAN;True;0000CC;False;4;D;480;1298000
BMW;X7;2019;Химки;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;326;6378750
BMW;5 серия;2019;Москва;True;33500;2;SEDAN;True;040001;False;4;E;530;2220000
BMW;6 серия;2008;Москва;True;110202;2;COUPE;True;FAFBFB;False;2;E;450;930000
BMW;6 серия;2020;Москва;NaN;0;NaN;LIFTBACK;True;040001;True;5;E;610;5475700
BMW;3 серия;2019;Калининград;True;8200;1;SEDAN;True;0000CC;True;4;D;480;2800000
BMW;X5;2019;Калининград;True;14736;1;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;645;5650000
BMW;X5;2010;Москва;True;177366;1;ALLROAD_5_DOORS;True;200204;True;5;J;620;935000
BMW;X5;2010;Альметьевск;True;149101;3;ALLROAD_5_DOORS;False;97948F;False;5;J;620;929000
BMW;5 серия;2013;Санкт-Петербург;True;161352;3;SEDAN;False;FAFBFB;True;4;E;520;995000
BMW;5 серия;2013;Санкт-Петербург;True;135000;2;SEDAN;True;FAFBFB;True;4;E;520;1080000
BMW;5 серия;2011;Санкт-Петербург;True;44710;1;SEDAN;True;0000CC;True;4;E;530;1280000
BMW;X3;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;550;3569600
BMW;X3;2014;Санкт-Петербург;True;86144;1;ALLROAD_5_DOORS;True;040001;True;5;J;550;1400000
BMW;X3;2014;Санкт-Петербург;True;76179;2;ALLROAD_5_DOORS;False;FAFBFB;True;5;J;550;1310000
BMW;X3;2011;Санкт-Петербург;True;97000;2;ALLROAD_5_DOORS;True;040001;True;5;J;550;900000
BMW;X2;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;97948F;True;5;J;470;2400000
BMW;X1;2010;Санкт-Петербург;True;169994;3;ALLROAD_5_DOORS;True;200204;False;5;J;420;660000
BMW;3 серия;2013;Санкт-Петербург;True;97000;2;SEDAN;True;200204;False;4;D;480;758000
BMW;X5;2017;Москва;True;58734;1;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;650;3292000
BMW;3 серия;2009;Москва;True;137130;3;SEDAN;True;040001;False;4;D;460;579000
BMW;X5;2015;Москва;True;49173;1;ALLROAD_5_DOORS;True;040001;False;5;J;650;2302000
BMW;5 серия;2006;Москва;True;129500;3;SEDAN;True;040001;True;4;E;520;620000
BMW;6 серия;2012;Санкт-Петербург;True;65929;3;COUPE;False;C49648;True;2;E;460;1350000
BMW;5 серия;2018;Пригородный;True;52925;1;SEDAN;True;97948F;True;4;E;530;2347000
BMW;5 серия;2020;Москва;NaN;0;NaN;SEDAN;True;97948F;True;4;E;530;3989600
BMW;5 серия;2017;Москва;True;56809;1;SEDAN;True;040001;False;4;E;530;3697020
BMW;5 серия;2011;Москва;True;62104;2;LIFTBACK;True;C49648;False;5;E;440;1420000
BMW;1 серия;2012;Люберцы;True;143352;3;HATCHBACK_5_DOORS;True;040001;True;5;C;360;589000
BMW;5 серия;2015;Ростов-на-Дону;True;150673;3;SEDAN;True;200204;True;4;E;520;1265000
BMW;5 серия;2020;Химки;NaN;0;NaN;SEDAN;True;040001;True;4;E;530;5018989
BMW;X6;2015;Москва;True;62712;1;ALLROAD_5_DOORS;True;97948F;True;5;J;580;2280000
BMW;X5;2012;Санкт-Петербург;True;223207;1;ALLROAD_5_DOORS;True;0000CC;False;5;J;620;1129837
BMW;X6;2016;Санкт-Петербург;True;89877;2;ALLROAD_5_DOORS;False;040001;False;5;J;580;2660000
BMW;X4;2020;Химки;NaN;0;NaN;ALLROAD_5_DOORS;True;0000CC;True;5;J;525;3580800
BMW;3 серия;2013;Санкт-Петербург;True;138214;2;SEDAN;True;040001;False;4;D;480;809000
BMW;3 серия;2018;Москва;True;27356;1;SEDAN;True;FAFBFB;False;4;D;480;1397000
BMW;X5;2016;Москва;True;31400;1;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;650;3049000
BMW;X3;2014;Москва;True;46189;1;ALLROAD_5_DOORS;True;EE1D19;False;5;J;550;1551000
BMW;X4;2018;Химки;True;17849;1;ALLROAD_5_DOORS;True;0000CC;False;5;J;500;2697201
BMW;X4;2015;Москва;True;57757;1;ALLROAD_5_DOORS;True;040001;False;5;J;500;1699000
BMW;5 серия;2017;Нижний Новгород;True;60441;1;SEDAN;True;040001;True;4;E;530;2199000
BMW;X3;2011;Москва;True;130000;2;ALLROAD_5_DOORS;True;040001;False;5;J;550;1080000
BMW;X5 M;2016;Краснодар;True;57558;2;ALLROAD_5_DOORS;True;97948F;False;5;J;650;3490000
BMW;1 серия;2017;Химки;True;45285;1;HATCHBACK_5_DOORS;True;FAFBFB;False;5;C;360;1199000
BMW;M5;2019;Москва;NaN;0;NaN;SEDAN;True;FAFBFB;True;4;E;530;9518500
BMW;6 серия;2019;Москва;True;2777;1;LIFTBACK;True;FAFBFB;False;5;E;610;4347000
BMW;X5;2013;Раздоры;True;57251;1;ALLROAD_5_DOORS;True;200204;False;5;J;650;1965000
BMW;X6;2016;Москва;True;86474;1;ALLROAD_5_DOORS;True;97948F;False;5;J;580;3115000
BMW;3 серия;2018;Санкт-Петербург;True;16469;2;SEDAN;True;FF8649;False;4;D;480;1949000
BMW;X5;2019;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;645;6030000
BMW;X3;2018;Москва;True;46296;1;ALLROAD_5_DOORS;True;040001;False;5;J;550;2599000
