Mark_info;Model_info;Year;Price_segment;Transmission;Gear_type;Fuel_rate;Vendor_country;Region;Mileage;Horse_power;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
Mercedes-Benz;E-Класс;2017;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.3;EUROPEAN;Екатеринбург;530;184;1;SEDAN;True;FAFBFB;False;4;E;540;2900000
Audi;100;1992;MEDIUM;MECHANICAL;FORWARD_CONTROL;8.9;EUROPEAN;Поварово;354698;133;3;SEDAN;True;007F00;False;4;E;510;150000
Mercedes-Benz;190 (W201);1988;PREMIUM;MECHANICAL;REAR_DRIVE;8.9;EUROPEAN;Москва;438247;118;3;SEDAN;True;97948F;False;4;D;411;135000
Lifan;Solano;2016;ECONOMY;MECHANICAL;FORWARD_CONTROL;6.5;CHINESE;Челябинск;70000;100;2;SEDAN;True;FAFBFB;True;4;C;NaN;385000
BMW;X6;2017;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;6.3;EUROPEAN;Москва;28000;313;2;ALLROAD_5_DOORS;True;040001;False;5;J;580;3790000
BMW;X5;2017;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;6.2;EUROPEAN;Москва;68233;249;1;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;650;3135000
Toyota;Land Cruiser;2015;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;13.9;JAPANESE;Москва;155555;309;2;ALLROAD_5_DOORS;True;040001;False;5;J;259;3500000
Kia;Spectra;2007;ECONOMY;AUTOMATIC;FORWARD_CONTROL;8.2;KOREAN;Екатеринбург;219000;101;3;SEDAN;True;EE1D19;False;4;C;440;170000
Mercedes-Benz;GL-Класс;2014;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;9.6;EUROPEAN;Красноярск;109863;333;2;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;680;2200000
Toyota;Corolla;2004;MEDIUM;MECHANICAL;FORWARD_CONTROL;7;JAPANESE;Москва;300000;110;3;SEDAN;False;CACECB;False;4;C;437;190000
Toyota;RAV4;2017;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;8.6;JAPANESE;Москва;64000;180;1;ALLROAD_5_DOORS;True;660099;False;5;J;577;1720000
Suzuki;SX4;2009;MEDIUM;AUTOMATIC;FORWARD_CONTROL;7.1;JAPANESE;Москва;150000;106;3;HATCHBACK_5_DOORS;True;660099;False;5;J;270;380000
Ford;Focus;2008;MEDIUM;MECHANICAL;FORWARD_CONTROL;7;AMERICAN;Санкт-Петербург;167000;125;3;HATCHBACK_5_DOORS;True;4A2197;False;5;C;282;270000
Audi;Q7;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;6.3;EUROPEAN;Москва;0;249;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;890;4354000
Hyundai;Solaris;2011;ECONOMY;AUTOMATIC;FORWARD_CONTROL;6.6;KOREAN;Королёв;110000;123;3;HATCHBACK_5_DOORS;True;97948F;False;5;B;370;415000
Toyota;Land Cruiser Prado;2007;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.3;JAPANESE;Москва;183266;249;3;ALLROAD_5_DOORS;True;040001;False;5;J;620;1049000
